name,location,client,number,building_type
GSA Historic Toilet Rm Restoration M&I,"U.S. CourthouseMilwaukee, WI",GSA,190110,Historic Restoration
Uihlein Residence,"Port Washington, WI",The Brico Fund,190410,Residential Single
Goodwill Des Plaines (Oaks Shopping Ctr),"1521 - 1527 Lee StreetDes Plaines, IL  60018",Goodwill Industries of SE Wisc.,191110,Retail
Great River Cultural & Tourism Center,"Onalaska, WI",City of Onalaska / WI DOT,192010,Recreation
Aten Collins Studio,"Sturgeon Bay, WI",,192310,Sustainable Design
Morning Star Ev. Lutheran Church,"N171 W20131 Highland RoadJackson, WI 53037",,192811,Religious
Life Church,"W164 N11325 Squire Drive, Suite 5A, Germantown, WI 53022",Life Church,193111,Religious
Shine Advertising Phase II,"Madison, WI",Shine Advertising,190710.01,Offices
FCPC Concordia Albrecht Hall,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.01,Offices
FCPC Concordia Gym/Rec Center,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.02,Recreation
FCPC Concordia Pritzlaff Hall,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.03,
FCPC Concordia Refectory,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.04,Hospitality
FCPC Concordia Rincker Library,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.05,Offices
FCPC Concordia Wunder Hall,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.06,Offices
FCPC Concordia Site Work,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.07,Planning
FCPC Concordia Trust Property,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011,
Goulding's Resort,"Monument Valley, UT",Amer & Cindy Tumeh,194411,Hospitality
Growing Power - Schematic Design,"Milwaukee, WI",,194511,Educational
FCPC Concordia As-Builts,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.08,Planning
J.W. Speaker Whitney Drive,"Germantown, WI",Jamie Speaker,194611,Industrial
St. Paul Sanctuary Grafton - DD/CCA,"701 Washington StreetGrafton, WI 53024-1898",Rich Musbach,194711,Religious
Andrae Residence CDs-CCA,"Egg Harbor, WI",Dan and Marjorie Andrae,184309.01,Residential Single
Alterra Coffee Roasters - East Tosa,6745 W. Wells Street,Alterra Coffee Roasters,195011,Retail
FCPC Condordia Wunder Hall Build-Out,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.09,
St. Lucas Lower Level,2605 S. Kinnickinnic,,195311,Religious
Goodwill Westchester,"Westchester, IL",Goodwill Industries of Southeastern Wisconsin,195511,Retail
Grafton West,,"Grafton West Development, LLC",195411,
Buddy Squirrel - Southridge,"Greendale, WI",Buddy Squirrel,195711,Retail
Stone Creek Coffee Factory - Build-Out,"422 North 5th StreetMilwaukee, WI 53203",Stone Creek Coffee,195611,Retail
First Unitarian Society - Furniture,"900 University Bay DriveMadison, WI  53705",First Unitarian Society,195911,Religious
FCPC Condordia Legal Offices,"33rd & State StreetMilwaukee, WI",Greenfire Management Services,194011.1,Offices
Sheboygan Dental Interiors,"Sheboygan, WI ","Monica Popp / Feider, Tiboris & Bistan DDS",196111,MDC
Plymouth Church UCC,"2717 E. Hampshire Blvd.  Milwaukee, WI  53211",Plymouth Church,196211,Religious
Abbey Glen,"West Point, GA",Brendan Sullivan,196311,Residential Multi
"First Church of Christ, Scientist","Oconto, WI",,196411,
Luther Memorial Church - Master Planning,"Madison, WI",Luther Memorial Church,196011,Religious
FCPC Data Center CDs,"33rd & StateMilwaukee, WI",Forest County Potawatomi Community,194311.01,Offices
Growing Power GPD Revision,"Milwaukee, WI",Will Allen,196612,
Adelman Residence Assessment,"Fox Point , WI",,196511,Residential Single
Adelman Residence Preservation,"Fox Point , WI",,196712,Residential Single
Boerke Tenant Space,"Cedarburg, WI",Kevin Riordan - The Boerke Company,196812,Offices
Stone Creek Coffee Bay View,"Bay View, WI",Stone Creek Coffee,196912,Retail
Redeemer Church Assessment,"19th & Wisconsin Ave, Milwaukee",Redeemer Lutheran Church,197112,Religious
Alterra - Tenney,"27 South Pickney Street, Madison, WI",,197012,Retail
Madison Children's Museum 3rd & 4th Fl Build-Out,"100 N. Hamilton StreetMadison, WI",Madison Children's Museum,197212,Museum
FCPC Data Center Sketchup Model,"33rd & StateMilwaukee, WI",NewAge Data Center Solutions,194311.02,Offices
Bank First National - Two Rivers ,"Manitowoc, WI",Bank First National,195211.01,Financial
Abbey Glen Graphics,"West Point, GA",Brendan Sullivan,196311.01,Residential Multi
800 East Washington,"Madison, WI","C.D. Smith Construction, Inc.",197312,Mixed Use
Forest Exploration Center,"Wauwatosa, WI",Wisconsin Forest Exploration Center,197412,Educational
Beijing Elementary,Beijing China,,197512,Educational
AWE Office,"Milwaukee, WI","Artists Working in Education, Inc.",197612,Offices
FCPC Pow Wow Grounds,"3934 Ferry Ranch, Wabeno, WI","Greenfire Management Services, LLC",197712,
